Komoditas_Provinsi,MAPE
Daging Ayam Ras_Nusa Tenggara Barat,0.02139721898155634
Daging Ayam Ras_Nusa Tenggara Timur,0.013990574725915176
Daging Ayam Ras_Papua Barat,0.05151110675932742
Daging Ayam Ras_Papua,0.01781015627467138
Daging Ayam Ras_Riau,0.01998251215649168
Daging Ayam Ras_Sulawesi Barat,0.019633429933076818
Daging Ayam Ras_Sulawesi Selatan,0.01694871234774262
Daging Ayam Ras_Sulawesi Tengah,0.02793272995350309
Daging Ayam Ras_Sulawesi Tenggara,0.0304818807584927
Daging Ayam Ras_Sulawesi Utara,0.013374193208967683
Daging Ayam Ras_Sumatera Barat,0.02236970788112407
Daging Ayam Ras_Sumatera Selatan,0.014312695294479698
Daging Ayam Ras_Sumatera Utara,0.015042244552427315
Daging Sapi Murni_Aceh,0.005829022443334367
Daging Sapi Murni_Bali,0.006155487722317506
Daging Sapi Murni_Banten,0.013792243181216161
Daging Sapi Murni_Bengkulu,0.017648283468259918
Daging Sapi Murni_DI Yogyakarta,0.005929204123922249
Daging Sapi Murni_DKI Jakarta,0.012081853474782092
Daging Sapi Murni_Gorontalo,0.0032655297072133704
Daging Sapi Murni_Jambi,0.006258348894679152
Daging Sapi Murni_Jawa Barat,0.0070406452554784985
Daging Sapi Murni_Jawa Tengah,0.004713968835673622
Daging Sapi Murni_Jawa Timur,0.007288201789871921
Daging Sapi Murni_Kalimantan Barat,0.004040050409490968
Daging Sapi Murni_Kalimantan Selatan,0.008112180757999618
Daging Sapi Murni_Kalimantan Tengah,0.008395939177060831
Daging Sapi Murni_Kalimantan Timur,0.006921433557777388
Daging Sapi Murni_Kalimantan Utara,0.0030831311338236325
Daging Sapi Murni_Kepulauan Bangka Belitung,0.015807648238065082
Daging Sapi Murni_Kepulauan Riau,0.0141633677830753
Daging Sapi Murni_Lampung,0.010964770079860969
Daging Sapi Murni_Maluku Utara,0.01814155898244721
Daging Sapi Murni_Maluku,0.018050818798797958
Daging Sapi Murni_Nusa Tenggara Barat,0.0029170879572242565
Daging Sapi Murni_Nusa Tenggara Timur,0.008165216861320861
Daging Sapi Murni_Papua Barat,0.026665056890055494
Daging Sapi Murni_Papua,0.005629807726584522
Daging Sapi Murni_Riau,0.005891587098620998
Daging Sapi Murni_Sulawesi Barat,0.005851453247049407
Daging Sapi Murni_Sulawesi Selatan,0.0037910077840035052
Daging Sapi Murni_Sulawesi Tengah,0.005631754307937664
Daging Sapi Murni_Sulawesi Tenggara,0.0064461657989630305
Daging Sapi Murni_Sulawesi Utara,0.003938114193996455
Daging Sapi Murni_Sumatera Barat,0.003695079732607526
Daging Sapi Murni_Sumatera Selatan,0.0061712656200593775
Daging Sapi Murni_Sumatera Utara,0.007386628728516448
Gula Konsumsi_Aceh,0.022285001800679764
Gula Konsumsi_Bali,0.016618550560851795
Gula Konsumsi_Banten,0.014496737660532511
Gula Konsumsi_Bengkulu,0.007418168257418605
Gula Konsumsi_DI Yogyakarta,0.010612688767053463
Gula Konsumsi_DKI Jakarta,0.016800537359405197
Gula Konsumsi_Gorontalo,0.0215366159610002
Gula Konsumsi_Jambi,0.004161623015416086
